,price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
0,495000,planta 1,exterior,3,118.0,True,True,Chopera,Arganzuela
1,485000,planta 2,exterior,2,82.0,True,True,Palos de Moguer,Arganzuela
2,315000,planta 2,exterior,2,72.0,False,False,Legazpi,Arganzuela
3,585000,planta 4,exterior,2,174.0,True,True,Palos de Moguer,Arganzuela
4,255000,bajo,exterior,3,75.0,False,False,Acacias,Arganzuela
5,299000,planta 1,exterior,1,69.0,True,False,Chopera,Arganzuela
6,265000,planta 3,exterior,2,54.0,True,False,Delicias,Arganzuela
7,290000,planta 3,interior,4,69.0,True,False,Chopera,Arganzuela
8,660220,planta 2,exterior,3,129.0,True,True,Imperial,Arganzuela
9,525000,planta 4,exterior,4,111.0,True,False,Chopera,Arganzuela
10,429900,bajo,interior,3,139.0,False,False,Acacias,Arganzuela
11,385000,planta 6,exterior,4,100.0,True,False,Chopera,Arganzuela
12,299000,planta 2,exterior,3,85.0,True,False,Delicias,Arganzuela
13,430000,planta 3,exterior,2,92.0,True,False,Palos de Moguer,Arganzuela
14,350000,planta 2,exterior,2,91.0,True,False,Imperial,Arganzuela
15,350000,planta 2,exterior,2,91.0,True,False,Imperial,Arganzuela
16,479000,planta 1,exterior,4,121.0,True,False,Imperial,Arganzuela
17,420000,planta 4,exterior,2,105.0,True,False,Palos de Moguer,Arganzuela
18,239000,planta 3,interior,2,54.0,True,False,Palos de Moguer,Arganzuela
19,585000,planta 4,exterior,2,110.0,True,True,Palos de Moguer,Arganzuela
20,410000,planta 5,exterior,3,79.0,True,False,Acacias,Arganzuela
21,293000,planta 2,exterior,2,77.0,True,False,Palos de Moguer,Arganzuela
22,190000,planta 3,exterior,2,48.0,False,False,Imperial,Arganzuela
23,299000,planta 5,interior,2,60.0,True,False,Palos de Moguer,Arganzuela
24,360000,planta 5,exterior,1,62.0,True,True,Imperial,Arganzuela
25,335000,planta 5,exterior,1,54.0,True,True,Imperial,Arganzuela
26,359900,planta 8,exterior,1,62.0,True,True,Legazpi,Arganzuela
27,235000,planta 2,interior,1,59.0,True,False,Palos de Moguer,Arganzuela
28,315000,planta 2,exterior,3,72.0,True,False,Delicias,Arganzuela
29,530000,planta 6,exterior,2,133.0,True,False,Palos de Moguer,Arganzuela
30,293000,planta 2,exterior,2,77.0,True,False,Palos de Moguer,Arganzuela
31,310000,planta 2,exterior,3,72.0,True,False,Delicias,Arganzuela
32,387900,planta 2,exterior,1,64.0,True,True,Legazpi,Arganzuela
33,729000,planta 3,exterior,5,175.0,True,False,Imperial,Arganzuela
34,243000,planta 3,exterior,3,55.0,False,False,Legazpi,Arganzuela
35,460000,planta 4,exterior,4,125.0,True,False,Delicias,Arganzuela
36,458000,planta 1,exterior,2,71.0,True,True,Imperial,Arganzuela
37,475000,planta 1,exterior,2,95.0,True,True,Legazpi,Arganzuela
38,357000,planta 1,exterior,1,86.0,True,True,Legazpi,Arganzuela
39,550000,planta 2,interior,3,130.0,True,False,Imperial,Arganzuela
40,475000,planta 4,exterior,2,105.0,True,True,Legazpi,Arganzuela
41,293000,planta 2,interior,3,74.0,True,False,Palos de Moguer,Arganzuela
42,282900,planta 2,exterior,2,47.0,True,False,Acacias,Arganzuela
43,235000,planta 3,interior,1,36.0,True,False,Delicias,Arganzuela
44,385000,planta 4,interior,2,98.0,True,False,Legazpi,Arganzuela
45,390000,planta 1,exterior,3,95.0,True,False,Chopera,Arganzuela
46,575000,planta 2,interior,3,143.0,True,True,Acacias,Arganzuela
47,530000,planta 6,exterior,2,133.0,True,False,Palos de Moguer,Arganzuela
48,780000,planta 8,exterior,4,160.0,True,False,Imperial,Arganzuela
49,210000,planta 3,exterior,2,53.0,False,False,Legazpi,Arganzuela
50,569000,bajo,interior,3,115.0,True,True,Dúplex en Legazpi,Arganzuela
51,370000,planta 1,exterior,3,103.0,True,False,Palos de Moguer,Arganzuela
52,375000,planta 1,interior,3,99.0,True,False,Palos de Moguer,Arganzuela
53,399000,planta 1,exterior,3,86.0,False,False,Delicias,Arganzuela
54,1150000,planta 18,exterior,4,209.0,True,True,Legazpi,Arganzuela
55,293000,planta 2,exterior,2,77.0,True,False,Palos de Moguer,Arganzuela
56,350000,planta 2,exterior,2,91.0,True,False,Imperial,Arganzuela
57,275000,bajo,exterior,2,94.0,True,False,Imperial,Arganzuela
58,410000,planta 1,exterior,3,117.0,True,False,Imperial,Arganzuela
59,320000,planta 1,exterior,3,82.0,True,False,Chopera,Arganzuela
60,470000,planta 1,exterior,3,121.0,True,False,Acacias,Arganzuela
61,375000,planta 1,interior,3,82.0,True,False,Chopera,Arganzuela
62,385000,planta 2,interior,3,93.0,True,False,Acacias,Arganzuela
63,249000,planta 3,interior,2,54.0,True,False,Palos de Moguer,Arganzuela
64,410000,planta 5,interior,2,69.0,True,True,Delicias,Arganzuela
65,530000,planta 1,exterior,4,104.0,True,False,Palos de Moguer,Arganzuela
