,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,price,prediction_label,error
1590,planta 1,interior,2,65.0,True,False,Goya,barrio de salamanca,399000,412802.0,-13802.0
8877,chalet,exterior,5,270.0,False,True,Chalet adosado en Conde Orgaz-Piovera,hortaleza,1300000,1375410.0,-75410.0
11379,planta 1,exterior,2,90.0,False,False,San Diego,puente-de-vallecas,162000,158993.53333333333,3006.4666666666744
31,planta 2,exterior,3,72.0,True,False,Delicias,Arganzuela,310000,305702.3333333334,4297.666666666628
9556,planta 2,exterior,3,149.0,True,True,Conde Orgaz-Piovera,hortaleza,790000,943708.0,-153708.0
793,planta 2,exterior,3,100.0,True,False,Alameda de Osuna,barajas,345000,365254.89,-20254.890000000014
14533,planta 9,exterior,2,95.0,True,False,San Fermín,usera,185000,212249.46,-27249.459999999992
1370,bajo,interior,1,37.0,True,False,Castellana,barrio de salamanca,219000,265580.0,-46580.0
1043,planta 1,interior,2,106.0,True,True,Lista,barrio de salamanca,632000,613804.5714285714,18195.428571428638
10003,planta 1,exterior,3,75.0,False,False,Puerta del Ángel,latina,149500,151121.18190476188,-1621.1819047618774
2590,planta 7,exterior,3,201.0,True,False,Goya,barrio de salamanca,2060000,1902800.0,157200.0
10073,planta 2,interior,2,50.0,False,True,Puerta del Ángel,latina,135000,147620.0,-12620.0
7983,bajo,exterior,1,52.0,True,False,Pueblo Nuevo,ciudad lineal,189000,202644.2,-13644.200000000012
1724,planta 3,interior,2,80.0,True,False,Recoletos,barrio de salamanca,735100,734225.0,875.0
5504,bajo,exterior,3,189.0,True,True,Nueva España,chamartin,825000,931710.0,-106710.0
10200,planta 7,exterior,3,95.0,True,False,Águilas,latina,225000,220621.0,4379.0
11072,planta 4,exterior,2,168.0,True,True,Horcajo,moratalaz,420000,653182.14,-233182.14
10250,bajo,exterior,3,83.0,False,False,Puerta del Ángel,latina,259999,243951.83276190475,16047.167238095251
7160,planta 1,exterior,4,126.0,False,True,Costillares,ciudad lineal,439000,492947.99,-53947.98999999999
14285,bajo,interior,1,29.0,False,False,Bellas Vistas,tetuan,124000,123728.9,271.1000000000058
5774,chalet,exterior,5,480.0,False,True,Chalet pareado en El Viso,chamartin,4500000,3728990.0,771010.0
13046,planta 3,exterior,2,70.0,True,False,Simancas,san-blas,167999,232894.96995238095,-64895.969952380954
12572,planta 7,exterior,3,127.0,True,True,Adelfas,retiro,610000,621042.2,-11042.199999999953
6449,bajo,interior,2,71.0,True,False,Nuevos Ministerios-Ríos Rosas,chamberi,450000,416850.0,33150.0
1191,entreplanta,exterior,6,211.0,True,False,Recoletos,barrio de salamanca,1150000,1593900.0,-443900.0
5064,planta 4,exterior,3,94.0,True,False,Ciudad Jardín,chamartin,429000,415076.8,13923.200000000012
2265,planta 1,exterior,2,106.0,True,False,Lista,barrio de salamanca,595000,663115.0,-68115.0
4873,planta 3,exterior,5,197.0,True,False,El Viso,chamartin,990000,1111380.0,-121380.0
12956,planta 1,exterior,2,85.0,True,True,Rejas,san-blas,330000,351842.5,-21842.5
5367,planta 3,exterior,6,360.0,True,True,Dúplex en Castilla,chamartin,1950000,1709149.1,240850.8999999999
2740,bajo,exterior,2,55.0,False,False,Opañel,carabanchel,115000,122113.31833333331,-7113.3183333333145
14397,planta 3,exterior,3,76.0,False,False,Pradolongo,usera,140000,160535.43333333335,-20535.43333333335
8892,planta 1,exterior,2,106.0,True,True,Sanchinarro,hortaleza,470000,459060.0,10940.0
9783,bajo,exterior,4,145.0,False,False,Puerta del Ángel,latina,260000,286634.89,-26634.890000000014
14344,planta 1,exterior,2,97.0,True,True,Berruguete,tetuan,290000,317485.21,-27485.21000000002
12760,planta 2,exterior,2,103.0,True,True,Rosas,san-blas,329000,320418.96009440563,8581.03990559437
2030,planta 1,interior,1,42.0,True,False,Goya,barrio de salamanca,250000,256225.0,-6225.0
10650,chalet,exterior,5,448.0,False,True,Chalet adosado en Ciudad Universitaria,moncloa,1200000,1148935.78,51064.21999999997
1131,planta 7,exterior,3,81.0,True,False,Guindalera,barrio de salamanca,379000,393500.0,-14500.0
15644,bajo,exterior,3,60.0,False,False,San Cristóbal,villaverde,141000,126724.525,14275.475000000006
11700,planta 1,exterior,3,107.0,False,False,Entrevías,puente-de-vallecas,160000,162520.94,-2520.9400000000023
1059,planta 3,exterior,4,203.0,True,False,Guindalera,barrio de salamanca,1195000,1072609.0,122391.0
13601,bajo,exterior,3,65.0,False,False,Ventilla-Almenara,tetuan,205000,208639.64285714284,-3639.6428571428405
8576,planta 1,exterior,3,101.0,True,False,Tres Olivos - Valverde,fuencarral,285000,307008.71,-22008.71000000002
5991,planta 6,exterior,4,257.0,True,False,Vallehermoso,chamberi,1050000,1390084.5238095238,-340084.5238095238
11575,planta 5,exterior,2,61.0,False,False,Numancia,puente-de-vallecas,119000,124007.435,-5007.434999999998
3484,planta 3,exterior,3,117.0,True,False,San Isidro,carabanchel,427000,395118.48,31881.52000000002
7552,planta 4,exterior,4,290.0,True,True,Dúplex en San Juan Bautista,ciudad lineal,995000,1198543.33,-203543.33000000007
14588,planta 4,exterior,3,75.0,False,False,San Fermín,usera,167000,191433.96666666667,-24433.966666666674
11961,planta 4,exterior,3,66.0,False,True,San Diego,puente-de-vallecas,139900,146299.0,-6399.0
490,planta 1,exterior,2,114.0,True,True,Imperial,Arganzuela,613000,587224.97,25775.030000000028
14435,planta 3,exterior,3,160.0,True,True,Orcasitas,usera,280000,288338.05,-8338.049999999988
9088,planta 2,exterior,3,77.0,False,False,Pinar del Rey,hortaleza,199000,199007.93333333335,-7.933333333348855
15545,planta 5,exterior,3,72.0,False,False,Los Ángeles,villaverde,135000,130926.0,4074.0
7824,planta 3,exterior,3,60.0,False,False,Pueblo Nuevo,ciudad lineal,150000,156424.2,-6424.200000000012
1818,planta 4,exterior,2,172.0,True,False,Recoletos,barrio de salamanca,1470000,1637961.04,-167961.04000000004
6818,planta 5,exterior,4,299.0,True,False,Nuevos Ministerios-Ríos Rosas,chamberi,2000000,1990020.0,9980.0
15253,planta 1,exterior,3,131.0,True,False,Santa Eugenia,villa-de-vallecas,197700,231457.63621245426,-33757.636212454265
14159,entreplanta,exterior,1,45.0,True,True,Berruguete,tetuan,199000,216813.0,-17813.0
229,planta 3,exterior,2,71.0,True,False,Imperial,Arganzuela,295000,319888.0,-24888.0
437,planta 4,exterior,3,135.0,True,True,Delicias,Arganzuela,675600,650508.0,25092.0
11915,bajo,exterior,1,45.0,False,False,Palomeras Bajas,puente-de-vallecas,140000,123889.1857142857,16110.814285714296
1149,planta 1,exterior,5,303.0,True,True,Goya,barrio de salamanca,1500000,1600250.0,-100250.0
7128,entreplanta,interior,3,65.0,False,False,Quintana,ciudad lineal,191000,187959.63333333336,3040.3666666666395
457,planta 1,exterior,1,52.0,True,False,Delicias,Arganzuela,229100,209484.99,19615.01000000001
3075,bajo,exterior,1,40.0,False,False,San Isidro,carabanchel,125000,114570.7,10429.300000000003
10949,planta 5,exterior,2,59.0,True,False,Valdezarza,moncloa,195000,199992.81333333335,-4992.8133333333535
1926,planta 6,exterior,3,100.0,True,False,Lista,barrio de salamanca,669000,640417.3095238096,28582.690476190415
10084,planta 5,exterior,3,88.0,True,True,Lucero,latina,240000,248714.99,-8714.98999999999
7657,planta 4,exterior,5,237.0,True,True,Colina,ciudad lineal,1605000,1446270.0,158730.0
1851,planta 5,exterior,2,131.0,True,True,Guindalera,barrio de salamanca,720000,720910.7738095239,-910.7738095239038
10592,bajo,exterior,2,91.0,True,True,Aravaca,moncloa,299000,310184.0,-11184.0
13095,planta 6,exterior,3,92.0,False,False,Rejas,san-blas,224500,273363.15,-48863.15000000002
7043,bajo,exterior,2,60.0,False,False,Ventas,ciudad lineal,154000,153440.2,559.7999999999884
10912,planta 2,exterior,3,84.0,True,False,Valdezarza,moncloa,260000,274604.14285714284,-14604.14285714284
15187,bajo,exterior,3,65.0,False,False,Casco Histórico de Vallecas,villa-de-vallecas,119000,117338.78,1661.2200000000012
4223,planta 1,exterior,5,166.0,True,False,Malasaña-Universidad,centro,859000,832479.2199271317,26520.780072868336
